system,n_elements,sigma_y_UB_MPa,prunable
Ta-Mo,2,740.1223422735604,False
Nb-Mo,2,770.4937766663802,False
Ta-W,2,929.9659493298634,False
Ta-V,2,937.1351426882317,False
V-Mo,2,1057.8208892792911,False
Cr-Ti,2,1552.2602776185072,False
V-W,2,1598.527015805057,False
Nb-Cr,2,2357.8162345451774,False
Ta-Cr,2,2733.4810833049746,False
Cr-Mo,2,4338.4378001965015,False
Cr-W,2,4679.358101572946,False
Ta-Ti-W,3,402.71654202151916,False
Ta-Mo-Ti,3,495.59123062950147,False
Nb-Ti-W,3,680.0991494119395,False
Nb-V-Ti,3,730.2818597996426,False
Nb-Ta-Mo,3,770.4937766663802,False
Nb-Mo-Ti,3,874.9277248643195,False
Nb-Ta-V,3,1149.375351577443,False
Ta-Mo-W,3,1197.849613440528,False
Ta-V-Ti,3,1211.9714484081685,False
Nb-Mo-W,3,1216.5858734996175,False
V-Cr-Ti,3,1792.112939417805,False
V-Mo-W,3,1814.9638072884427,False
Nb-Cr-Ti,3,2357.8162345457517,False
V-Mo-Ti,3,2411.284605854417,False
Nb-V-Cr,3,2698.1026137902695,False
Ta-V-Cr,3,2892.0286235520402,False
Ta-Cr-Ti,3,3241.918704701242,False
Ta-V-Mo,3,3298.9541445009777,False
V-Ti-W,3,3620.1155239533973,False
Nb-Ta-Cr,3,3686.0324694691944,False
Nb-V-Mo,3,3824.573811642948,False
V-Cr-Mo,3,4338.437800196417,False
V-Cr-W,3,4773.431105933625,False
Ta-V-W,3,4926.595924287574,False
Nb-V-W,3,5656.897098898603,False
Cr-Mo-W,3,6457.067780331937,False
Cr-Mo-Ti,3,6591.4561479515005,False
Ta-Cr-Mo,3,7133.2635584920745,False
Nb-Cr-Mo,3,9270.021196713426,False
Cr-Ti-W,3,9424.873433865676,False
Ta-Cr-W,3,10164.348043610642,False
Nb-Cr-W,3,13065.103817821646,False
Nb-Ta-Ti-W,4,680.0991493853552,False
Ta-Mo-Ti-W,4,803.5452583212755,False
Nb-Ta-Mo-Ti,4,874.9277248643109,False
Nb-Ta-Mo-W,4,1216.585873499619,False
Nb-Mo-Ti-W,4,1365.3826623181747,False
Nb-Ta-V-Ti,4,1378.2533921637325,False
Nb-V-Cr-Ti,4,2698.102613792198,False
Ta-V-Cr-Ti,4,3425.099775491632,False
V-Mo-Ti-W,4,3620.115523953373,False
Ta-V-Mo-Ti,4,3638.9374617893864,False
Nb-Ta-Cr-Ti,4,3686.032469471348,False
Nb-Ta-V-Mo,4,3824.573811642948,False
Nb-Ta-V-Cr,4,3890.2865787833443,False
Nb-V-Mo-Ti,4,4059.92576033022,False
